name,description,domain,eligibility,location,contact,url
Förderung von Projekten zum Thema DataXperiment – Erprobung innovativer Machbarkeits- und Anwendungsszenarien in der Onkologie – Nationale Dekade gegen Krebs –,Richtlinie zur Förderung von Projekten zum Thema DataXperiment – Erprobung innovativer Machbarkeits- und Anwendungsszenarien in der Onkologie – Nationale Dekade gegen Krebs – vom: 06.12.2024 Bundesministerium für Bildung und Forschung BAnz AT 04.02.2025 B5,"Forschung & Innovation (themenspezifisch), Gesundheit & Soziales",Hochschule,bundesweit,"Name: DLR Projektträger, Email: DataXperiment2@dlr.de, Phone: Tel: +49 228 3821-1210, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/data-xperiment.html
Digitales Europa (2021–2027),"Das Programm soll Unternehmen, Bürgerinnen und Bürgern und öffentlichen Verwaltungen digitale Technologien zugänglich machen sowie die Einführung wichtiger digitaler Technologien fördern.","Digitalisierung, Infrastruktur, Smart Cities & Regionen","Kommune, Öffentliche Einrichtung, Unternehmen, Verband/Vereinigung",bundesweit,"Name: Bundesministerium für Verkehr (BMV), Email: digital-europe@bmdv.bund.de, Phone: N/A, Address: N/A",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/EU/digitales-europa.html
Digitalisierungsprämie Plus – Zuschussvariante,"Wenn Sie als mittelständisches Unternehmen in Ihre digitale Transformation investieren und Ihr Digitalisierungsprojekt vor allem mit Eigenmitteln finanzieren können und wollen, können Sie unter bestimmten Voraussetzungen die Zuschussvariante der Digitalisierungsprämie Plus in Anspruch nehmen.","Unternehmensfinanzierung, Digitalisierung",Unternehmen,Baden-Württemberg,"Name: L-Bank, Email: digitalisierungspraemieplus@l-bank.de, Phone: Tel: 0721 1503020, Address: 76113 Karlsruhe",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Baden-Wuerttemberg/digitalisierungspraemie-plus-zuschussvariante.html
Projekte im Rahmen der europäischen EUREKA-Cluster,"Wenn Sie sich als deutsches Teilkonsortium an europäischen Clustern und Joint Calls im Rahmen der Forschungsinitiative EUREKA beteiligen möchten, können Sie unter bestimmten Voraussetzungen einen Zuschuss bekommen.","Forschung & Innovation (themenspezifisch), Digitalisierung, Mobilität","Hochschule, Forschungseinrichtung, Unternehmen",bundesweit,"Name: DLR Projektträger, Email: itea@dlr.de, Phone: Tel: 030 670558314, Address: 10829 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/richtlinie-zur-foerderung-von-zuwendungen-fuer-di.html
Förderung im Rahmen der Transformationsinitiative Stadt-Land-Zukunft – Planungsbeschleunigung für die Klimaanpassung mit Urbanen Digitalen Zwillingen,"Wenn Sie im Bereich der Städte- und Landschaftsplanung zu Urbanen Digitalen Zwillingen forschen und entwickeln, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Forschung & Innovation (themenspezifisch), Infrastruktur, Digitalisierung","Forschungseinrichtung, Hochschule, Kommune, Öffentliche Einrichtung, Unternehmen, Verband/Vereinigung",bundesweit,"Name: DLR Projektträger, Email: contact-dlr@dlr.de, Phone: Tel: +49 2203 601-0, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/klimaanpassung-urbane-digitale-zwillinge.html
Förderung von Projekten zum Thema KMU-innovativ: Biomedizin,"Wenn Sie als Unternehmen im Bereich Biomedizin forschen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.",Forschung & Innovation (themenspezifisch),"Hochschule, Forschungseinrichtung, Unternehmen",bundesweit,"Name: Projektträger Jülich (PtJ), Email: ptj-kmui-biomedizin@fz-juelich.de, Phone: Tel: +49 246 161-84699, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/biomedizin.html
NRW.Venture,NRW.Venture,"Forschung & Innovation (themenoffen), Unternehmensfinanzierung",Unternehmen,Nordrhein-Westfalen,"Name: NRW.BANK, Email: info@nrwbank.de, Phone: Tel: 0211 917414800, Address: 40213 Düsseldorf",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/nrw-bank-venture-fonds.html
Entwicklung digitaler Technologien,"Wenn Sie im Verbund mit anderen Partnern Forschungs-, Entwicklungs- und Innovationsprojekte im Bereich digitaler Technologien durchführen wollen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Forschung & Innovation (themenspezifisch), Digitalisierung","Unternehmen, Forschungseinrichtung, Hochschule, Öffentliche Einrichtung, Verband/Vereinigung",bundesweit,"Name: DLR Projektträger, Email: PT-DigitaleTech@dlr.de, Phone: Tel: +49 228 3821-1962 (Herr Schmidt) oder +49 228 3821-1951 (Herr Lay), Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/entwicklung-digitaler-technologien.html
Sicherheit und Gesundheit bei der Arbeit im Wandel der Arbeitswelt,"Wenn Sie im Bereich Arbeitsschutz und Gesundheit in der Arbeitswelt arbeiten, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.",Arbeit,"Bildungseinrichtung, Forschungseinrichtung, Kommune, Öffentliche Einrichtung, Unternehmen, Verband/Vereinigung",bundesweit,"Name: Bundesministerium für Arbeit und Soziales (BMAS), Email: asug@bmas.bund.de, Phone: N/A, Address: 10117 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMAS/sicherheit-gesundheit-wandel-arbeitswelt.html
Stärkung der ambulanten Pflege im ländlichen Raum,"Wenn Sie eine ambulante Pflegeeinrichtung in Niedersachsen betreiben und die Pflege in ländlichen Gebieten stärken wollen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Gesundheit & Soziales, Digitalisierung",Verband/Vereinigung,Niedersachsen,"Name: Landesamt für Soziales, Jugend und Familie Außenstelle Osnabrück, Email: Team6SL1@ls.niedersachsen.de, Phone: Tel: 0541 5845343, Address: 49082 Osnabrück",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Niedersachsen/staerkung-der-ambulanten-pflege-land.html
Zukunftszentren – Unterstützung von kleinen und mittleren Unternehmen und Beschäftigten bei der (Weiter-)Entwicklung und Umsetzung innovativer Gestaltungsansätze zur Bewältigung der digitalen Transformation,Förderrichtlinie für aus Mitteln des Europäischen Sozialfonds Plus (ESF Plus) mitfinanzierte Maßnahmen zur Durchführung des Programms „Zukunftszentren – Unterstützung von kleinen und mittleren Unternehmen und Beschäftigten bei der (Weiter-)Entwicklung und Umsetzung innovativer Gestaltungsansätze zur Bewältigung der digitalen Transformation“ – Neufassung –  vom: 14.03.2024 Bundesministerium für Arbeit und Soziales  BAnz AT 12.04.2024 B5,"Beratung, Arbeit, Aus- & Weiterbildung, Digitalisierung",Unternehmen,bundesweit,"Name: Deutsche Rentenversicherung Knappschaft-Bahn-See (KBS), Email: Zukunftszentren@kbs.de, Phone: Tel: +49 355 355 486-914 (Anrufzeiten: Montag bis Donnerstag 08:00 – 16:00 Uhr, Freitag 08:00 – 14:00 Uhr), Address: 03046 Cottbus",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMAS/zukunftszentren-kmu-digitale-transformation-2.html
"Förderung von Verbundforschungsvorhaben zu den Themenfeldern „Software und Algorithmen mit Schwerpunkt auf Künstlicher Intelligenz und Maschinellem Lernen“, „Forschungsdatenmanagement“ und „föderierte Digitalinfrastrukturen“ zur Erforschung von Universum und Materie (ErUM)","Richtlinie zur Förderung von Verbundforschungsvorhaben zu den Themenfeldern „Software und Algorithmen mit Schwerpunkt auf Künstlicher Intelligenz und Maschinellem Lernen“, „Forschungsdatenmanagement“ und „föderierte Digitalinfrastrukturen“ zur Erforschung von Universum und Materie (ErUM) vom 30.09.2024",Forschung & Innovation (themenspezifisch),"Forschungseinrichtung, Hochschule, Unternehmen",bundesweit,"Name: Projektträger DESY (PT.DESY), Email: pt@desy.de, Phone: Tel: +49 40 8998-3702, Address: 22607 Hamburg",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/software-algorithmen-ki-maschinelles-lernen.html
NeueWege.IN.NRW – Innovative Mobilität und Logistik,"Wenn Sie innovative Vorhaben zu nachhaltiger, ökonomisch sinnvoller Mobilität und Logistik umsetzen wollen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Forschung & Innovation (themenspezifisch), Mobilität","Forschungseinrichtung, Hochschule, Kommune, Öffentliche Einrichtung, Unternehmen, Verband/Vereinigung",Nordrhein-Westfalen,"Name: Innovationsförderagentur NRW (IN.NRW), Email: neuewege.in.nrw@fz-juelich.de, Phone: Tel: 02461 6184012, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/neue-wege-in-nrw.html
ESF Plus RL 2021–2027 Hochschule und Forschung – A – Promotionen,"Wenn Sie Maßnahmen zur wissenschaftlichen Nachwuchsförderung – vor allem für Frauen – durchführen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Aus- & Weiterbildung, Frauenförderung",Hochschule,Sachsen,"Name: Sächsische Aufbaubank – Förderbank – (SAB), Email: servicecenter@sab.sachsen.de, Phone: Tel: 0351 49100, Address: 01069 Dresden",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Sachsen/esf-hochschule-und-forschung-promotionen.html
ESF Plus RL 2021–2027 Hochschule und Forschung – B – Nachwuchsforschungsgruppen,"Wenn Sie Vorhaben für Nachwuchsforschende – vor allem für Frauen – durchführen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Forschung & Innovation (themenoffen), Aus- & Weiterbildung, Frauenförderung",Hochschule,Sachsen,"Name: Sächsische Aufbaubank – Förderbank – (SAB), Email: servicecenter@sab.sachsen.de, Phone: Tel: 0351 49100, Address: 01069 Dresden",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Sachsen/esf-hochschule-und-forschung-nachwuchs.html
Tourismusfinanzierung Plus,"Wenn Sie als kleines oder mittleres Unternehmen des Hotel- und Gaststättengewerbes vor allem in Baumaßnahmen zur Umgestaltung oder Modernisierung Ihres Betriebs investieren, können Sie unter bestimmten Voraussetzungen ein Darlehen, einen Tilgungszuschuss oder Zinsboni bekommen.","Unternehmensfinanzierung, Infrastruktur",Unternehmen,Baden-Württemberg,"Name: L-Bank, Email: wirtschaftsfoerderung@l-bank.de, Phone: Tel: 0711 1222345, Address: 70174 Stuttgart",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Baden-Wuerttemberg/tourismusfinanzierung-plus.html
"Energie.IN.NRW – Innovative Projektideen für das Energiesystem der Zukunft, eine klimaneutrale Industrie sowie klima- und ressourcengerechtes Bauen in NRW","Wenn Sie Verbundvorhaben zur Entwicklung von klimafreundlichen Lösungen in den Bereichen Energie, Industrie, Gebäude und Baustoffe sowie Sektorenkopplung umsetzen wollen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.",Forschung & Innovation (themenspezifisch),"Forschungseinrichtung, Hochschule, Kommune, Öffentliche Einrichtung, Unternehmen, Verband/Vereinigung",Nordrhein-Westfalen,"Name: Innovationsförderagentur NRW (IN.NRW), Email: energie.in.nrw@fz-juelich.de, Phone: Tel: 02461 6184119, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/energie-in-nrw.html
Digitalisierungsprämie Plus – Darlehensvariante,"Wenn Sie als mittelständisches Unternehmen in Ihre digitale Transformation investieren und Ihr Digitalisierungsprojekt mit Fremdkapital finanzieren wollen, können Sie unter bestimmten Voraussetzungen die Darlehensvariante der Digitalisierungsprämie Plus in Anspruch nehmen.","Unternehmensfinanzierung, Digitalisierung",Unternehmen,Baden-Württemberg,"Name: L-Bank, Email: wirtschaftsfoerderung@l-bank.de, Phone: Tel: 0711 1222345, Address: 70174 Stuttgart",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Baden-Wuerttemberg/digitalisierungspraemie-plus-darlehensvariante.html
"Maßnahmen der naturnahen Waldbewirtschaftung, Ausarbeitung von Waldbewirtschaftungsplänen und Durchführung forstwirtschaftlicher Wegebaumaßnahmen (Richtlinie Forst 2019)","Wenn Sie Vorhaben zur Umsetzung einer nachhaltigen Waldbewirtschaftung planen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.",Landwirtschaft & Ländliche Entwicklung,"Unternehmen, Kommune, Öffentliche Einrichtung, Privatperson, Verband/Vereinigung",Sachsen-Anhalt,"Name: zuständiges Amt für Landwirtschaft, Flurneuordnung und Forsten (ALFF), Email: N/A, Phone: N/A, Address: N/A",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Sachsen-Anhalt/richtlinie-forst-2019.html
Förderung von Forschung und Infrastuktur an Hochschulen und außerhochschulischen Forschungseinrichtungen,"Wenn Sie als Hochschule oder außerhochschulische Forschungseinrichtung ein Vorhaben zur Bildung von fachlichen und regionalen Forschungs- und Entwicklungsschwerpunkten sowie zur Schaffung einer modernen Forschungsinfrastruktur im Saarland planen, können Sie unter bestimmten Voraussetzungen einen Zuschuss bekommen.","Infrastruktur, Forschung & Innovation (themenoffen)","Hochschule, Forschungseinrichtung",Saarland,"Name: Ministerium für Wirtschaft, Innovation, Digitales und Energie, Email: referat.c3@wirtschaft.saarland.de, Phone: Tel: 0681 5017306, Address: 66119 Saarbrücken",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Saarland/foerderung-von-forschung.html
Mikroelektronik-Forschung von Verbundpartnern im Rahmen des Gemeinsamen Unternehmens KDT,"Wenn Sie in einem industriellen Verbundprojekt zu Elektroniksystemen und intelligenten Systemen forschen möchten, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Forschung & Innovation (themenspezifisch), Digitalisierung","Forschungseinrichtung, Hochschule, Unternehmen",bundesweit,"Name: VDI/VDE Innovation + Technik GmbH, Email: vdivde-it@vdivde-it.de, Phone: Tel: 030 3100780, Address: 10623 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/mikroelektronik-verbundpartner-kdt.html
Erforschung von Universum und Materie (ErUM) – Forschung für den Rückbau kerntechnischer Anlagen (FORKA),"Wenn Sie an Technologien und Verfahren zum Rückbau von Atomkraftwerken forschen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.",Forschung & Innovation (themenspezifisch),"Forschungseinrichtung, Hochschule, Unternehmen",bundesweit,"Name: Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) gGmbH, Email: projekttraeger@grs.de, Phone: Tel: 0221 2068725, Address: 50455 Köln",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/forka.html
Energieforschungsprogramm – Nukleare Sicherheitsforschung und Strahlenforschung (Nachwuchsförderung),"Wenn Sie grundlegende Forschungsarbeiten im Bereich der nuklearen Sicherheitsforschung und Strahlenforschung planen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.",Forschung & Innovation (themenspezifisch),"Hochschule, Forschungseinrichtung, Unternehmen, Kommune",bundesweit,"Name: Projektträger Karlsruhe (PTKA), Email: sylvia.graeber@kit.edu, Phone: Tel: 0721 60831438, Address: 76344 Eggenstein-Leopoldshafen",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/zuwendungen-nukleare-sicherheits-strahlenforschung.html
Zuwendungen für wasserwirtschaftliche Maßnahmen,"Wenn Sie als Körperschaft oder Anstalt des öffentlichen Rechts ein wasserwirtschaftliches Vorhaben durchführen, das eine zumutbare Entgeltbelastung der Einwohnerinnen und Einwohner und eine effiziente Nutzung der Wasserressourcen in Rheinland-Pfalz ermöglicht, können Sie unter bestimmten Voraussetzungen einen Zuschuss oder ein Darlehen bekommen.","Umwelt- & Naturschutz, Infrastruktur, Landwirtschaft & Ländliche Entwicklung","Verband/Vereinigung, Kommune",Rheinland-Pfalz,"Name: Ministerium für Klimaschutz, Umwelt, Energie und Mobilität, Email: Poststelle@mkuem.rlp.de, Phone: Tel: 06131 160, Address: 55116 Mainz",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Rheinland-Pfalz/foerderrichtlinien-wasserwirtschaftsverwaltung.html
