name,description,domain,eligibility,location,contact,url
Funding of projects on the topic of DataXperiment - testing innovative feasibility and application scenarios in oncology - National Decade Against Cancer -,Guideline for the funding of projects on DataXperiment - Testing innovative feasibility and application scenarios in oncology - National Decade against Cancer - dated: 06.12.2024 Federal Ministry of Education and Research BAnz AT 04.02.2025 B5,"Research & Innovation (topic-specific), Health & Social Affairs",University,Nationwide,"Name: DLR Projektträger, Email: DataXperiment2@dlr.de, Phone: Tel: +49 228 3821-1210, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/data-xperiment.html
Digital Europe (2021-2027),"The program aims to make digital technologies accessible to companies, citizens and public administrations and to promote the introduction of important digital technologies.","Digitalization, infrastructure, smart cities & regions","Municipality, public institution, company, association/club",Nationwide,"Name: Bundesministerium für Verkehr (BMV), Email: digital-europe@bmdv.bund.de, Phone: N/A, Address: N/A",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/EU/digitales-europa.html
Digitization Premium Plus - subsidy variant,"If you are a medium-sized company investing in your digital transformation and can and want to finance your digitalization project primarily with your own funds, you can take advantage of the Digitalization Premium Plus grant option under certain conditions.","Corporate finance, digitalization",The company,Baden-Württemberg,"Name: L-Bank, Email: digitalisierungspraemieplus@l-bank.de, Phone: Tel: 0721 1503020, Address: 76113 Karlsruhe",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Baden-Wuerttemberg/digitalisierungspraemie-plus-zuschussvariante.html
Projects within the framework of the European EUREKA clusters,"If you would like to participate as a German sub-consortium in European clusters and joint calls as part of the EUREKA research initiative, you can receive a grant under certain conditions.","Research & innovation (topic-specific), digitalization, mobility","University, research institution, company",Nationwide,"Name: DLR Projektträger, Email: itea@dlr.de, Phone: Tel: 030 670558314, Address: 10829 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/richtlinie-zur-foerderung-von-zuwendungen-fuer-di.html
Funding as part of the urban-rural-future transformation initiative - accelerating planning for climate adaptation with urban digital twins,"If you are researching and developing urban digital twins in the field of urban and landscape planning, you can receive a grant under certain conditions.","Research & innovation (topic-specific), infrastructure, digitalization","Research institution, university, municipality, public institution, company, association/association",Nationwide,"Name: DLR Projektträger, Email: contact-dlr@dlr.de, Phone: Tel: +49 2203 601-0, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/klimaanpassung-urbane-digitale-zwillinge.html
Promotion of projects on the topic of SME innovation: Biomedicine,"If you are a company conducting research in the field of biomedicine, you can receive a grant under certain conditions.",Research & Innovation (topic-specific),"University, research institution, company",Nationwide,"Name: Projektträger Jülich (PtJ), Email: ptj-kmui-biomedizin@fz-juelich.de, Phone: Tel: +49 246 161-84699, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/biomedizin.html
NRW.Venture,NRW.Venture,"Research & innovation (open topic), corporate financing",The company,North Rhine-Westphalia,"Name: NRW.BANK, Email: info@nrwbank.de, Phone: Tel: 0211 917414800, Address: 40213 Düsseldorf",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/nrw-bank-venture-fonds.html
Development of digital technologies,"If you want to carry out research, development and innovation projects in the field of digital technologies in collaboration with other partners, you can receive a grant under certain conditions.","Research & innovation (topic-specific), digitalization","Company, research institution, university, public institution, association/association",Nationwide,"Name: DLR Projektträger, Email: PT-DigitaleTech@dlr.de, Phone: Tel: +49 228 3821-1962 (Herr Schmidt) oder +49 228 3821-1951 (Herr Lay), Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/entwicklung-digitaler-technologien.html
Occupational safety and health in the changing world of work,"If you work in the field of occupational health and safety, you can receive a subsidy under certain conditions.",Work,"Educational institution, research institution, municipality, public institution, company, association/association",Nationwide,"Name: Bundesministerium für Arbeit und Soziales (BMAS), Email: asug@bmas.bund.de, Phone: N/A, Address: 10117 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMAS/sicherheit-gesundheit-wandel-arbeitswelt.html
Strengthening outpatient care in rural areas,"If you run an outpatient care facility in Lower Saxony and want to strengthen care in rural areas, you can receive a subsidy under certain conditions.","Health & Social Affairs, Digitalization",Association/Union,Lower Saxony,"Name: Landesamt für Soziales, Email: Team6SL1@ls.niedersachsen.de, Phone: Tel: 0541 5845343, Address: 49082 Osnabrück",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Niedersachsen/staerkung-der-ambulanten-pflege-land.html
Future centers - supporting small and medium-sized enterprises and employees in the (further) development and implementation of innovative design approaches to master the digital transformation,"Funding guideline for measures co-financed by the European Social Fund Plus (ESF Plus) for the implementation of the program ""Future Centers - Support for small and medium-sized enterprises and employees in the (further) development and implementation of innovative design approaches to cope with the digital transformation"" - new version - dated: 14.03.2024 Federal Ministry of Labour and Social Affairs BAnz AT 12.04.2024 B5","Consulting, work, education & training, digitalization",The company,Nationwide,"Name: Deutsche Rentenversicherung Knappschaft-Bahn-See (KBS), Email: Zukunftszentren@kbs.de, Phone: Tel: +49 355 355 486-914 (Anrufzeiten: Montag bis Donnerstag 08:00 – 16:00 Uhr, Address: 03046 Cottbus",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMAS/zukunftszentren-kmu-digitale-transformation-2.html
"Funding of collaborative research projects in the fields of ""software and algorithms with a focus on artificial intelligence and machine learning"", ""research data management"" and ""federated digital infrastructures"" for the exploration of the universe and matter (ErUM)","Directive on the funding of collaborative research projects in the fields of ""Software and algorithms with a focus on artificial intelligence and machine learning"", ""Research data management"" and ""Federated digital infrastructures"" for the exploration of the universe and matter (ErUM) of 30.09.2024",Research & Innovation (topic-specific),"Research institution, university, company",Nationwide,"Name: Projektträger DESY (PT.DESY), Email: pt@desy.de, Phone: Tel: +49 40 8998-3702, Address: 22607 Hamburg",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/software-algorithmen-ki-maschinelles-lernen.html
NeueWege.IN.NRW - Innovative mobility and logistics,"If you want to implement innovative projects for sustainable, economically sensible mobility and logistics, you can receive a grant under certain conditions.","Research & Innovation (topic-specific), Mobility","Research institution, university, municipality, public institution, company, association/association",North Rhine-Westphalia,"Name: Innovationsförderagentur NRW (IN.NRW), Email: neuewege.in.nrw@fz-juelich.de, Phone: Tel: 02461 6184012, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/neue-wege-in-nrw.html
ESF Plus RL 2021-2027 Higher education and research - A - Doctorates,If you carry out measures to promote young scientists - especially women - you can receive a grant under certain conditions.,"Education & training, advancement of women",University,Saxony,"Name: Sächsische Aufbaubank – Förderbank – (SAB), Email: servicecenter@sab.sachsen.de, Phone: Tel: 0351 49100, Address: 01069 Dresden",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Sachsen/esf-hochschule-und-forschung-promotionen.html
ESF Plus RL 2021-2027 University and research - B - Junior research groups,If you carry out projects for young researchers - especially women - you can receive a grant under certain conditions.,"Research & innovation (open topic), education & training, advancement of women",University,Saxony,"Name: Sächsische Aufbaubank – Förderbank – (SAB), Email: servicecenter@sab.sachsen.de, Phone: Tel: 0351 49100, Address: 01069 Dresden",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Sachsen/esf-hochschule-und-forschung-nachwuchs.html
Tourism Finance Plus,"If you are a small or medium-sized company in the hotel and catering industry and are investing primarily in construction measures to redesign or modernize your business, you can receive a loan, a repayment subsidy or interest bonuses under certain conditions.","Corporate finance, infrastructure",The company,Baden-Württemberg,"Name: L-Bank, Email: wirtschaftsfoerderung@l-bank.de, Phone: Tel: 0711 1222345, Address: 70174 Stuttgart",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Baden-Wuerttemberg/tourismusfinanzierung-plus.html
"Energie.IN.NRW - Innovative project ideas for the energy system of the future, a climate-neutral industry and climate- and resource-friendly construction in NRW","If you want to implement joint projects for the development of climate-friendly solutions in the areas of energy, industry, buildings and building materials as well as sector coupling, you can receive a grant under certain conditions.",Research & Innovation (topic-specific),"Research institution, university, municipality, public institution, company, association/association",North Rhine-Westphalia,"Name: Innovationsförderagentur NRW (IN.NRW), Email: energie.in.nrw@fz-juelich.de, Phone: Tel: 02461 6184119, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/energie-in-nrw.html
Digitization Premium Plus - loan variant,"If you are a medium-sized company investing in your digital transformation and want to finance your digitalization project with outside capital, you can take advantage of the Digitalization Premium Plus loan option under certain conditions.","Corporate finance, digitalization",The company,Baden-Württemberg,"Name: L-Bank, Email: wirtschaftsfoerderung@l-bank.de, Phone: Tel: 0711 1222345, Address: 70174 Stuttgart",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Baden-Wuerttemberg/digitalisierungspraemie-plus-darlehensvariante.html
"Near-natural forest management measures, development of forest management plans and implementation of forestry road construction measures (Forestry Directive 2019)","If you are planning projects to implement sustainable forest management, you can receive a grant under certain conditions.",Agriculture & Rural Development,"Company, municipality, public institution, private individual, association/club",Saxony-Anhalt,"Name: zuständiges Amt für Landwirtschaft, Email: N/A, Phone: N/A, Address: N/A",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Sachsen-Anhalt/richtlinie-forst-2019.html
Promotion of research and infrastructure at universities and non-university research institutions,"If you are a university or non-university research institution planning a project to establish specialist and regional research and development priorities and to create a modern research infrastructure in Saarland, you can receive a grant under certain conditions.","Infrastructure, research & innovation (open topic)","University, research institution",Saarland,"Name: Ministerium für Wirtschaft, Email: referat.c3@wirtschaft.saarland.de, Phone: Tel: 0681 5017306, Address: 66119 Saarbrücken",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Saarland/foerderung-von-forschung.html
Microelectronics research by partners in the KDT Joint Undertaking,"If you would like to conduct research on electronic systems and intelligent systems in a joint industrial project, you can receive a grant under certain conditions.","Research & innovation (topic-specific), digitalization","Research institution, university, company",Nationwide,"Name: VDI/VDE Innovation + Technik GmbH, Email: vdivde-it@vdivde-it.de, Phone: Tel: 030 3100780, Address: 10623 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/mikroelektronik-verbundpartner-kdt.html
Exploration of the Universe and Matter (ErUM) - Research for the Decommissioning of Nuclear Facilities (FORKA),"If you are researching technologies and processes for dismantling nuclear power plants, you can receive a grant under certain conditions.",Research & Innovation (topic-specific),"Research institution, university, company",Nationwide,"Name: Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) gGmbH, Email: projekttraeger@grs.de, Phone: Tel: 0221 2068725, Address: 50455 Köln",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/forka.html
Energy research program - Nuclear safety research and radiation research (promotion of young scientists),"If you are planning fundamental research work in the field of nuclear safety research and radiation research, you can receive a grant under certain conditions.",Research & Innovation (topic-specific),"University, research institution, company, municipality",Nationwide,"Name: Projektträger Karlsruhe (PTKA), Email: sylvia.graeber@kit.edu, Phone: Tel: 0721 60831438, Address: 76344 Eggenstein-Leopoldshafen",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/zuwendungen-nukleare-sicherheits-strahlenforschung.html
Grants for water management measures,"If you, as a public corporation or institution, carry out a water management project that enables a reasonable charge for the inhabitants and an efficient use of water resources in Rhineland-Palatinate, you can receive a grant or a loan under certain conditions.","Environment & nature conservation, infrastructure, agriculture & rural development","Association/club, municipality",Rhineland-Palatinate,"Name: Ministerium für Klimaschutz, Email: Poststelle@mkuem.rlp.de, Phone: Tel: 06131 160, Address: 55116 Mainz",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/Rheinland-Pfalz/foerderrichtlinien-wasserwirtschaftsverwaltung.html
