name,description,eligibility,amount,procedure,contact,url
Individual company innovation and technology support program (InnoTop) as part of the ERDF 2021-2027,"Administrative regulation of the Ministry of Economic Affairs, Transport, Agriculture and Viticulture of 20 October 2023 (8401)The funding program provides the opportunity to apply for non-repayable grants for research and development. Funding is provided for feasibility studies on the analysis and evaluation of the potential and prospects of success of an R&D project as a basis for decision-making. Funding is also available for research and development projects (R&D projects) that aim to develop new, significantly modified or improved products, processes or services and can be assigned to the research categories of industrial research and/or experimental development as defined by the EU. Projects must advance the state of the art. Corresponding requirements also apply to projects in the field of software development, modification and adaptation. R&D projects whose intended commercial exploitation is expected to contribute to climate neutrality can apply for a higher grant amount if a corresponding qualitative description and quantitative estimate of the expected CO2 savings is provided. To determine the amount for climate neutrality, the expected CO2 savings must be submitted as part of the application in accordance with a recognized calculation method (state of the art).",Beneficiaries are companies with a business in Rhineland-Palatinate. Small and medium-sized enterprises (SMEs) as defined in Annex I of Regulation (EU) No. 651/2014 are eligible for funding. Recipients also include small companies with a medium-sized market capitalization that employ up to 499 people and are not SMEs (small mid-caps). Large companies are funded if the project applied for is of great importance for the state of Rhineland-Palatinate.,"Funding is provided by way of pro rata financing through the granting of non-repayable grants. Funds from the European Regional Development Fund (ERDF) in the ""Investments in Employment and Growth"" Rhineland-Palatinate, funding period 2021-2027 (VV IWB-EFRE)"" objective of December 21, 2022 (MinBl. 2023 p. 8) are used to support feasibility studies and R&D projects.Funding for feasibility studies is based on the size of the applicant company and is staggered as follows:Small companies:70% of eligible expenditureMedium-sized companies:60% of eligible expenditureLarge companies (including small mid-caps):50% of eligible expenditureFunding for R&D projects is based on the level of innovation of the project applied for and the size of the applicant company. The basic funding for R&D activities in the categories:Industrial research:50% of eligible expenditureExperimental development:25% of eligible expenditurePossible supplements depending on company size:Small company:20%Medium-sized company:10%Involvement of research and knowledge dissemination institutions (under special conditions):15%The maximum funding rate is limited to 80% of eligible expenditure.Climate-protecting R&D projectsClimate-protecting projects include R&D projects whose intended commercial exploitation is also expected to contribute to climate neutrality. To determine the contribution to climate neutrality, the expected CO2 savings must be submitted as part of the application using a recognized calculation method that reflects the state of the art.",Applications for grants must be sent to the ISB and submitted electronically via the onlineEFRE customer portal 2021-2027.,Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de || Technischer Support Kundenportal | 06131 6172-1902 | support.kundenportal@isb.rlp.de,https://isb.rlp.de/foerderung/358.html
"State funding program as part of the ERDF 2021-2027 ""Implementation of operational innovations"" (IBI-EFRE)","As part of this funding program, Rhineland-Palatinate companies are supported in the introduction of operational innovations. The grants are intended to contribute to creating or maintaining their performance and competitiveness. The grants are intended to provide investment incentives for the implementation of product innovations, innovative business models or innovations in the production process that are essential for the company.","Small and medium-sized commercial enterprises in Rhineland-Palatinate, including accommodation establishments, are eligible for funding, but the economic sectors listed under No. 8.1 of the administrative regulation on which the funding program is based are not eligible: Agriculture and forestry, insofar as not processing or marketing, aquaculture, fisheries, hospitals, clinics, sanatoriums, nursing homes for the elderly or similar facilities as well as service providers that provide corresponding services on an outpatient basis, campsites, companies in difficulty, non-profit companies or public sector companies.","Funding is provided as a (non-repayable) investment grant in the amount of the maximum funding rate of up to 20% for small companies and up to 10% for medium-sized companies. The minimum grant amount at the time of approval is EUR 50,000 (eligible costs of at least EUR 250,000 or EUR 500,000) and the maximum grant amount is EUR 5 million.","Applications are submitted digitally via the ISB customer portal. Your funding application must be received by ISB before the start of the investment (this is generally the binding - written or verbal - conclusion of a supply or service contract attributable to the execution) and written confirmation must have been issued by ISB that the funding requirements are met on the merits, subject to a detailed review. A loan or financing agreement concluded for the financing of the project or the commencement of own work is also deemed to be the start of the investment project, which must generally commence no later than three months after the application is submitted.",Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de || Technischer Support Kundenportal | 06131 6172-1902 | support.kundenportal@isb.rlp.de,https://isb.rlp.de/foerderung/361.html
Innovation voucher (R&D contract),"Administrative regulation dated 20 October 2023 (8401)With the innovation voucher (R&D contract) funding module from the Rhineland-Palatinate individual company technology funding program (InnoTop), companies with a business in Rhineland-Palatinate can commission external research and development institutions to provide development services for their own projects. A company can apply for a grant of up to 20,000 euros for an R&D contract. The innovation voucher (R&D contract) is intended to encourage small and medium-sized enterprises to cooperate with external research and development institutions within the framework of their own projects. External research and development institutions include universities, public and private research institutions, as well as comparable private-sector providers of development services. Incidentally, external research and development institutions do not have to be based in Rhineland-Palatinate The Innovation Voucher (R&D contract) funding program stands for a streamlined application process and a quick funding decision.","Small and medium-sized enterprises (SMEs) in Rhineland-Palatinate which, according to the current definition of SMEs, employ fewer than 250 employees and have an annual turnover of less than EUR 50 million.","Funding is provided in the form of a grant as part-financing within the framework of the available budget funds. The funding amounts to 50% of the eligible costs and is limited to a maximum of EUR 20,000. In the case of a cooperation project with several partner companies, the lead partner is granted an additional 5% of the total eligible expenditure of all cooperation partners. The project must be completed within one year. The grant is de minimis aid in accordance with Commission Regulation (EU) No. 1407/2013 of December 18, 2013 (Official Journal of the European Commission L 352 of December 24, 2013, p. 1 et seq.) The maximum possible grant of EUR 20,000 is always taken as the maximum de minimis aid amount, even if the grant actually applied for is lower. In this respect, the applicant company must still have an available de minimis quota of at least this amount.",Applications are submitted directly to the Investitions- und Strukturbank Rheinland-Pfalz (ISB). The application documents are available as a fillable pdf template. The submission of the legally binding signed and complete application in printed form is decisive for the application to be submitted on time.,Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de,https://isb.rlp.de/foerderung/255.html
ISB Mittelstandskredit,The low-interest SME loan - optionally with an indemnity from the ISB for the on-lending bank - is based on KfW's ERP SME development loan. The ISB additionally reduces the already low-cost loans from the KfW.the SME loan can be applied for in the following program variants:ISB SME loan (665)ISB SME loan with liability release (667),Natural personsLegal entities that are majority privately ownedCompanies with legal capacityAccording to the EU definition of small and medium-sized enterprises (SMEs) acting in the course of or for the purpose of a commercial or professional activity.Restructuring cases and companies in difficulty as defined in the EU guideline are not eligible for funding.,The loan is granted by the ISB to the principal bank for onward transfer to the ultimate borrower. The form and scope of the collateral is agreed between the applicant and the respective house bank during the loan negotiations.Maximum loan amount:€5 million for investment loans€2 million for working capital loans100% of the costs can be financed by this loan in compliance with EU state aid law.100% of the loan is disbursed.The house bank determines the interest rate for the ultimate borrowers on the basis of a price category based on KfW's risk-adjusted interest rate system. This is calculated taking into account the economic circumstances of the borrower (creditworthiness) and the collateral provided for the loan.Term variants:2 years with a bullet repayment and a fixed interest rate for the entire term of the loan for warehouse and working capital loansup to 5 years with a maximum of 1 redemption-free start-up year (maximum term for working capital loans) and a fixed interest rate for the entire term of the loanup to 10 years with a maximum of 2 redemption-free start-up years (maximum term for warehouse loans) and a fixed interest rate for the entire term of the loanup to 20 years with a maximum of 3 redemption-free start-up years and a fixed interest rate for the first 10 yearsThe project must not have been started at the time of application.,Applications are submitted to the ISB via the house bank.,Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de,https://isb.rlp.de/foerderung/665-667.html
Syndicated loan,ISB's participation in a loan consortium is intended to promote projects in Rhineland-Palatinate that are significant in terms of structural policy. A special structural effect exists above all if the project is suitable for improving the economic and/or housing structure or the labor supply in Rhineland-Palatinate. The syndicated loan is thus intended to contribute to the creation and maintenance of competitive companies and future-proof jobs.,,,Applications must be submitted informally by the banks to the ISB.,Gisbert Renkel | 06131 6172-1283 | gisbert.renkel@isb.rlp.de,https://isb.rlp.de/foerderung/119.html
"State funding program as part of the ERDF 2021-2027 ""Increasing the efficiency of commercial enterprises"" (EffInvest)","As part of this funding program, Rhineland-Palatinate companies are supported in increasing their energy and resource efficiency. The grants are intended to contribute to the effective reduction of greenhouse gas emissions, material consumption and waste generation and to ensure the long-term competitiveness of Rhineland-Palatinate as an industrial location.","Funding is available for commercial enterprises in Rhineland-Palatinate, including catering and accommodation establishments, with the exception of the economic sectors listed in the administrative regulation under point 7.1.","Funding is provided as a (non-repayable) investment grant in the amount of the maximum funding rate of up to 20%. Funding will only be approved if the planned investment volume allows for a grant amount of EUR 50,000 or more. This means that small companies generally require a minimum eligible investment volume of EUR 250,000 and medium-sized and large companies a minimum investment volume of EUR 500,000. grants are generally only awarded for projects that are implemented (completed) within 36 months. in the case of large companies, funding is provided as de minimis aid. In these cases, the amended maximum limit of EUR 300,000 within three years is observed.","Applications are submitted digitally via the ISB customer portal. Your funding application must be received by ISB before the start of the investment (this is generally the binding - written or verbal - conclusion of a supply or service contract attributable to the execution) and written confirmation must have been issued by ISB that the funding requirements are met on the merits, subject to a detailed review. A loan or financing agreement concluded for the financing of the project or the commencement of own work is also deemed to be the start of the investment project, which must generally commence no later than three months after the application is submitted.",Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de || Technischer Support Kundenportal | 06131 6172-1902 | support.kundenportal@isb.rlp.de,https://isb.rlp.de/foerderung/364.html
"State support program ""Strengthening structurally weak regions"" (REGIO)",Investment projects by companies in structurally weak regions of the state of Rhineland-Palatinate are funded as part of the regional economic development programs. There are funding opportunities in the state's development area.,"Funding is available for commercial production companies and certain craft and service businesses. Accommodation establishments, restaurants and campsites are not eligible for support under this funding program, which provides support for small and medium-sized enterprises for the construction of a new business establishment or the expansion of an existing business establishment, which includes not only the expansion of capacities but also the diversification of the production of a business establishment with products not previously manufactured there and the fundamental change of the entire production process of an existing business establishment.","Funding is provided as a (non-repayable) investment grant in the amount of the corresponding maximum funding rate. Depending on the size of the company, the grant can amount to between 10% and 20% of the eligible costs. For investment measures with an investment volume exceeding EUR 10 million, a subsidy rate of 5% is granted for the amount exceeding EUR 10 million. The minimum grant amount at the time of approval is EUR 20,000 (eligible costs for small companies at least EUR 100,000, for medium-sized companies at least EUR 200,000).","The funding application must be received by ISB prior to the start of the investment (this is generally the binding - written or verbal - conclusion of a supply or service contract attributable to the execution of the project) and written confirmation must be issued by ISB that the funding requirements have been met on the merits, subject to a detailed examination. A loan or financing agreement concluded for the purpose of financing the project, or the commencement of own work, is also deemed to be the start of the investment.ISB will obtain expert opinions from the relevant chamber (IHK, HWK) and the employment agency once the application has been submitted.The investment project must generally commence no later than three months after the application has been submitted.",Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de,https://isb.rlp.de/foerderung/154.html
Trade fair subsidy,"Applications for the trade fair grant program can be submitted again. Due to the particular success of the foreign trade program, the commitment to joint stands in particular will be continued as part of the ""Gemeinsam auf Auslandsmärkte 2025"" program. The current annual program of Außenwirtschaft Rheinland-Pfalz provides an overview of the foreign markets taking place in 2025 in which trade fair participation is generally possible. Once participation in a joint Rhineland-Palatinate stand has been agreed with the foreign trade team, an application can be submitted to the ISB. due to the high level of use of the trade fair grant program, applications for individual participation beyond this can currently only be submitted for those trade fairs that take place in the first half of the year (i.e. up to and including 30.06.2025).","Funding is available for small and medium-sized enterprises (SMEs) according to the applicable EU definition, as well as agricultural enterprises and members of the liberal professions with a registered office or business premises in Rhineland-Palatinate.","The grant is provided as fixed-amount funding in the form of a subsidy towards the event costs.Within Europe €3,000Outside Europe €5,000Digital events €1,000The subsidy paid out as a fixed amount may not exceed the amount of the actual event costs.The following expenses can be counted towards the event costs: Stand rental, stand construction, personnel expenses, travel and accommodation expenses, advertising materials, expenses for exhibits, insurance, mailing campaigns, etc.Applications can be submitted to the ISB up to one day before the start of the trade fair.","Applications must be sent by post to the ISB address given on the application form and can only be considered if they are received by the ISB on the day before the start of the trade fair. in urgent cases, a scan of the signed application documents can be sent in advance by e-mail to ankleinprogramme@isb.rlp.degesendet in order to meet the deadline. The original application must be submitted later by post.",Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de,https://isb.rlp.de/foerderung/109.html
Regional development Assisted area Joint task,"Investment projects by companies in structurally weak regions of the state of Rhineland-Palatinate are funded as part of the regional economic development programs. There are funding opportunities in the area of the joint task ""Improvement of the regional economic structure"" (GRW areas).","Support is available for commercial enterprises and tourism businesses whose economic sector (5-digit code from official statistics) is included in the ""positive list"" or ""conditional positive list"" (Annex 4.1 and 4.2 in the coordination framework), with a few exceptions that are excluded from support under point 9.2 of the ordinance.In the case of small and medium-sized enterprises, support is provided for the construction of a new business establishment (construction investment)the expansion of the capacities of an existing business establishment (expansion investment)the diversification of the production of a business establishment into products not previously manufactured therethe fundamental change to the entire production process of an existing business establishmentand in the case of large enterprises (support only possible in the C support area)the construction of a new business establishment (construction investment)the diversification of the activity of a business establishment, provided that the new activity is not the same or a similar activity to the activity previously carried out at the business premises. the creation or safeguarding of permanent jobs.","Funding is provided as a (non-repayable) investment grant in the amount of the corresponding maximum funding rate. Depending on the type of project, the grant can amount to between 10% and 30% of the eligible costs (5% more in the Birkenfeld and Südwestpfalz districts). For investment measures with an investment volume exceeding EUR 10 million, a subsidy rate of 5% is granted for the amount exceeding EUR 10 million.","The funding application must be received by the ISB before the start of the investment (= in principle the conclusion of a supply or service contract). A loan or financing agreement concluded for the purpose of financing the project is also deemed to be the start of the investment project. the written confirmation of basic eligibility for funding from the granting authority must be awaited before the investment project is started. after the application has been submitted, the application is completed with additional information from the investor, as well as expert opinions from the relevant chamber (IHK, HWK) or the employment agency. the investment project must be started no later than three months after the application has been submitted.",Business development consulting | 06131 6172-1333 | beratung@isb.rlp.de,https://isb.rlp.de/foerderung/153.html
Venture capital/investments,The ISB provides companies in Rhineland-Palatinate with equity capital in the form of direct investments (acquisition of company shares) and/or typical silent partnerships via various subsidiaries (investment funds). The equity capital serves to strengthen the economic equity of the applicant company.,"Small and medium-sized enterprises (SMEs) in accordance with the applicable EU definition for SMEs in the form of a corporation with a business in Rhineland-Palatinate. In order for the Rhineland-Palatinate Innovation Fund to participate, the company must have been in business for no longer than five years at the time of application. In addition, it must be a small enterprise (SME) according to the EU definition. Applicant companies are expected to have an innovative business model with growth prospects.","The investment can be made available as an open investment through the acquisition of company shares or as a typical silent partnership. Financing is often provided in a combination of open and typical silent participation. The investment is made available as part of a specific project financing; the maximum limit for the investment in a first financing round is EUR 500,000 and is based on the financing contributions of the shareholders or other investors. A fixed fee and a profit-related fee are payable for the silent partnership, which is agreed individually on the basis of the company rating carried out. The term of the silent partnership is between five and ten years. A purchase price for the acquisition of company shares is negotiated with the company on the basis of a company valuation. A processing fee of generally 1% of the investment amount is payable upon application.","Applications are submitted directly to the ISB and before submitting an application, it is advisable to seek advice from the ISB's specialist department in order to clarify the application requirements and the further procedure in a personal meeting. The employees of the investment department will be happy to provide you with preliminary information by telephone.",Mike Walber | 06131 6172-1251 | mike.walber@isb.rlp.de || Holger Augustin | 06131 6172-1108 | holger.augustin@isb.rlp.de || Thorsten Bechtel | 06131 6172-1349 | thorsten.bechtel@isb.rlp.de || Jörg Bunzel | 06131 6172-1361 | joerg.bunzel@isb.rlp.de || Marina Fink | 06131 6172-1348 | marina.fink@isb.rlp.de || Sven Gilsdorf | 06131 6172-1481 | sven.gilsdorf@isb.rlp.de || Michael Herbach | 06131 6172-1340 | michael.herbach@isb.rlp.de || Mischa Jung | 06131 6172-1476 | mischa.jung@isb.rlp.de || Jutta Lehmann | 06131 6172-1362 | jutta.lehmann@isb.rlp.de || Heiko Merz | 06131 6172-1244 | heiko.merz@isb.rlp.de || Tim Schreck | 06131 6172-1426 | tim.schreck@isb.rlp.de || Holger Weißhaupt | 06131 6172-1460 | holger.weisshaupt@isb.rlp.de,https://isb.rlp.de/foerderung/300.html
